asset,origin,variant,n_trades,expectancy,test_return,max_dd
ETH,2023-02-21 00:00:00+00:00,v_dump_pump,18,-0.00046912552813360773,-0.00844396562957539,-0.016513796582651175
ETH,2023-02-21 00:00:00+00:00,v_all,18,-0.00046912552813360773,-0.00844396562957539,-0.016513796582651175
ETH,2023-07-21 00:00:00+00:00,base,10,0.0004711812034338501,0.006823433535036116,-0.012510359581661135
ETH,2023-07-21 00:00:00+00:00,v_dump,18,0.00013804817182058358,0.002591998420284458,-0.015094692912913654
ETH,2023-07-21 00:00:00+00:00,v_dump_range,18,0.00013804817182058358,0.002591998420284458,-0.015094692912913654
ETH,2023-07-21 00:00:00+00:00,v_dump_pump,18,0.00013804817182058358,0.002591998420284458,-0.015094692912913654
ETH,2023-07-21 00:00:00+00:00,v_all,18,0.00013804817182058358,0.002591998420284458,-0.015094692912913654
ETH,2023-12-18 00:00:00+00:00,base,10,0.002476699749898348,0.024216001304142143,-0.025613360305118182
ETH,2023-12-18 00:00:00+00:00,v_dump,11,0.0023035647694877827,0.024719671712337687,-0.022195032027727324
ETH,2023-12-18 00:00:00+00:00,v_dump_range,8,0.003146864907631954,0.024593559688820488,-0.022195032027727213
ETH,2023-12-18 00:00:00+00:00,v_dump_pump,11,0.0023035647694877827,0.024719671712337687,-0.022195032027727324
ETH,2023-12-18 00:00:00+00:00,v_all,8,0.003146864907631954,0.024593559688820488,-0.022195032027727213
ETH,2024-05-16 00:00:00+00:00,base,27,-0.0005651005754389449,-0.006468752636096031,-0.025046439642011142
ETH,2024-05-16 00:00:00+00:00,v_dump,29,2.2313040869189775e-05,-0.0009232640035914397,-0.022838928744705833
ETH,2024-05-16 00:00:00+00:00,v_dump_range,29,2.2313040869189775e-05,-0.0009232640035914397,-0.022838928744705833
ETH,2024-05-16 00:00:00+00:00,v_dump_pump,29,2.2313040869189775e-05,-0.0009232640035914397,-0.022838928744705833
ETH,2024-05-16 00:00:00+00:00,v_all,29,2.2313040869189775e-05,-0.0009232640035914397,-0.022838928744705833
ETH,2024-10-13 00:00:00+00:00,base,8,0.0005594555001324443,0.0044108194442809,-0.013663413910722011
ETH,2024-10-13 00:00:00+00:00,v_dump,9,0.00042080837157051714,0.0037307496397374074,-0.013264153279572866
ETH,2024-10-13 00:00:00+00:00,v_dump_range,9,0.00042080837157051714,0.0037307496397374074,-0.013264153279572866
ETH,2024-10-13 00:00:00+00:00,v_dump_pump,9,0.00042080837157051714,0.0037307496397374074,-0.013264153279572866
ETH,2024-10-13 00:00:00+00:00,v_all,9,0.00042080837157051714,0.0037307496397374074,-0.013264153279572866
ETH,2025-03-12 00:00:00+00:00,base,31,0.00063208851712418,0.02056194392498223,-0.02401778569590507
ETH,2025-03-12 00:00:00+00:00,v_dump,35,0.0007491923940531215,0.02708356181562599,-0.020491103020404577
ETH,2025-03-12 00:00:00+00:00,v_dump_range,31,0.0009076782360102279,0.029054258706377123,-0.020491103020404466
ETH,2025-03-12 00:00:00+00:00,v_dump_pump,35,0.0007491923940531215,0.02708356181562599,-0.020491103020404577
ETH,2025-03-12 00:00:00+00:00,v_all,31,0.0009076782360102279,0.029054258706377123,-0.020491103020404466
ETH,2025-08-09 00:00:00+00:00,base,5,-0.0013103938850260297,-0.006555971922431514,-0.01883906909747557
ETH,2025-08-09 00:00:00+00:00,v_dump,6,-0.0012365734586630172,-0.007419149411010406,-0.019691574124726108
ETH,2025-08-09 00:00:00+00:00,v_dump_range,6,-0.0012365734586630172,-0.007419149411010406,-0.019691574124726108
ETH,2025-08-09 00:00:00+00:00,v_dump_pump,6,-0.0012365734586630172,-0.007419149411010406,-0.019691574124726108
ETH,2025-08-09 00:00:00+00:00,v_all,6,-0.0012365734586630172,-0.007419149411010406,-0.019691574124726108
ETH,2026-01-06 00:00:00+00:00,base,12,-0.0008266388998971582,-0.009899082552077054,-0.01585481354180185
ETH,2026-01-06 00:00:00+00:00,v_dump,13,-0.000762938304806445,-0.009899659172123765,-0.01585481354180185
ETH,2026-01-06 00:00:00+00:00,v_dump_range,13,-0.000762938304806445,-0.009899659172123765,-0.01585481354180185
ETH,2026-01-06 00:00:00+00:00,v_dump_pump,13,-0.000762938304806445,-0.009899659172123765,-0.01585481354180185
ETH,2026-01-06 00:00:00+00:00,v_all,13,-0.000762938304806445,-0.009899659172123765,-0.01585481354180185
