t,S0,vol,p_model,p_market,edge
2026-07-23 18:00:24+00:00,64499.3,0.3876082319392311,0.9990060552945516,0.989,0.010006055294551564
2026-07-23 19:00:18+00:00,64683.5,0.3821445181995401,0.9993144059563356,0.9885,0.010814405956335538
2026-07-23 20:00:15+00:00,64540.0,0.3863549437778568,0.9990838948904568,0.9885,0.010583894890456746
2026-07-23 21:00:22+00:00,64896.5,0.37651172750334044,0.999555998192992,0.9885,0.011055998192991967
2026-07-23 22:00:16+00:00,64963.9,0.37488749688826506,0.999613165669142,0.9885,0.011113165669142
2026-07-23 23:00:15+00:00,65191.6,0.3699812045130251,0.9997566845707301,0.9885,0.011256684570730036
2026-07-24 00:00:21+00:00,65091.6,0.3545818164006274,0.9998435288458628,0.9885,0.01134352884586276
2026-07-24 01:00:10+00:00,64963.3,0.35519902896349737,0.9998077861772992,0.9885,0.011307786177299106
2026-07-24 02:00:13+00:00,64850.0,0.3559972712213598,0.9997678945488935,0.9885,0.011267894548893431
2026-07-24 03:00:23+00:00,65112.9,0.3545089364445049,0.9998486502906445,0.985,0.014848650290644527
2026-07-24 04:00:16+00:00,65456.5,0.3545014065041285,0.999907955170795,0.9895,0.010407955170794958
2026-07-24 05:00:26+00:00,65313.0,0.3542368950523333,0.9998877820365222,0.9895,0.01038778203652213
2026-07-24 06:00:23+00:00,65316.9,0.35423900971474526,0.9998884058489146,0.9895,0.01038840584891454
2026-07-24 07:00:12+00:00,65476.3,0.3545680116360867,0.999910334385302,0.99,0.009910334385301978
2026-07-24 08:00:14+00:00,65316.6,0.35423883697805775,0.9998883580273423,0.9905,0.00938835802734228
2026-07-24 09:00:23+00:00,65127.6,0.35446356186665134,0.9998520640610469,0.9905,0.009352064061046828
2026-07-24 10:00:20+00:00,65112.8,0.35450925888540835,0.9998486267347695,0.9905,0.009348626734769439
2026-07-24 11:00:15+00:00,64948.4,0.35529047669556907,0.9998030286663478,0.991,0.008803028666347856
2026-07-24 12:00:38+00:00,64858.4,0.35592997390134246,0.9997711637042539,0.991,0.008771163704253904
2026-07-24 13:00:24+00:00,64578.4,0.3588670755737366,0.9996273528914497,0.991,0.008627352891449669
2026-07-24 14:00:17+00:00,63849.3,0.3729784465950853,0.9985729958270363,0.991,0.0075729958270363
2026-07-24 15:00:33+00:00,64056.2,0.3680604650741902,0.9990277444637733,0.9915,0.007527744463773245
2026-07-24 16:00:23+00:00,64092.8,0.367263797079685,0.9997599305587356,0.9915,0.008259930558735529
2026-07-24 17:00:17+00:00,63744.4,0.37573494904986215,0.9994687396036197,0.9915,0.007968739603619657
2026-07-24 18:00:28+00:00,64180.5,0.3654463194959412,0.9998036166788042,0.9915,0.008303616678804193
2026-07-24 19:00:20+00:00,64274.0,0.3636525610902942,0.9998413870362077,0.9915,0.008341387036207681
2026-07-24 20:00:21+00:00,64025.0,0.36875718207655817,0.9997195874706057,0.9915,0.008219587470605694
2026-07-24 21:00:25+00:00,63994.6,0.3694515140800462,0.9996993743661116,0.9915,0.008199374366111511
2026-07-24 22:00:19+00:00,64148.7,0.36609034010621666,0.9997887868281907,0.9915,0.008288786828190675
2026-07-24 23:00:18+00:00,64134.1,0.36639175086450176,0.9997816046610433,0.9915,0.008281604661043218
2026-07-25 00:00:36+00:00,64150.4,0.352018841330316,0.9998781623033985,0.9915,0.008378162303398495
2026-07-25 01:00:19+00:00,63952.3,0.3523337955723737,0.9998292854557,0.992,0.007829285455700052
2026-07-25 02:00:19+00:00,63947.8,0.35234914724488775,0.9998279305701241,0.9925,0.007327930570124042
2026-07-25 03:00:23+00:00,63820.0,0.3529367161066806,0.9997837544715769,0.993,0.006783754471576864
2026-07-25 04:00:19+00:00,63949.3,0.35234398961858304,0.9998283835814739,0.993,0.0068283835814738625
2026-07-25 05:00:20+00:00,63975.2,0.352261307478281,0.9998359909424965,0.9935,0.006335990942496483
2026-07-25 06:00:41+00:00,63870.0,0.3526719990268396,0.9998024250398766,0.994,0.005802425039876602
2026-07-25 07:00:51+00:00,64006.5,0.3521774725403264,0.9998446645386168,0.994,0.005844664538616762
2026-07-25 08:00:30+00:00,64008.5,0.35217271434032354,0.9998452002103958,0.994,0.005845200210395807
2026-07-25 09:00:31+00:00,63871.8,0.3526633034203308,0.9998030621654435,0.995,0.004803062165443461
2026-07-25 10:00:17+00:00,63977.3,0.35225513169653955,0.9998365903340759,0.995,0.0048365903340759075
2026-07-25 11:00:14+00:00,64066.5,0.3520660264631551,0.9998598249952872,0.995,0.004859824995287254
2026-07-25 12:00:53+00:00,64056.2,0.3520805526211661,0.9998573518712087,0.9945,0.005357351871208671
2026-07-25 13:00:23+00:00,64115.7,0.35202298738845544,0.9998709526977776,0.9945,0.005370952697777542
2026-07-25 14:00:21+00:00,63896.8,0.35254853198087066,0.9998116726546111,0.9945,0.005311672654611077
2026-07-25 15:00:45+00:00,64050.6,0.35208925156113435,0.9998559854404971,0.9955,0.00435598544049709
2026-07-25 16:00:19+00:00,64182.8,0.3520345427572542,0.9999896560631965,0.995,0.004989656063196457
2026-07-25 17:00:26+00:00,64212.2,0.35206514583963067,0.9999902835818826,0.9955,0.004490283581882526
2026-07-25 18:00:37+00:00,64272.2,0.3521758671328599,0.9999914295553023,0.9925,0.0074914295553022425
2026-07-25 19:00:19+00:00,64422.1,0.352735144831284,0.9999936493333198,0.9935,0.006493649333319751
2026-07-25 20:00:25+00:00,64397.8,0.3526171112209491,0.9999933423600456,0.9935,0.0064933423600455065
2026-07-25 21:00:55+00:00,64336.4,0.3523660242343595,0.999992480765405,0.9935,0.006492480765404984
2026-07-25 22:00:24+00:00,64350.4,0.35241732344777693,0.9999926887530263,0.9955,0.004492688753026219
2026-07-25 23:00:48+00:00,64412.5,0.3526872508855037,0.9999935302150007,0.9955,0.004493530215000652
2026-07-26 00:00:30+00:00,64375.9,0.33989087148007197,0.999996728709813,0.9955,0.0044967287098129916
2026-07-26 01:00:15+00:00,64511.3,0.33990469947131574,0.9999976307926877,0.9955,0.0044976307926876125
2026-07-26 02:00:17+00:00,64473.7,0.3398691327732283,0.9999974130367637,0.993,0.006997413036763711
2026-07-26 03:00:38+00:00,64525.7,0.3399247795649544,0.9999977084417612,0.994,0.005997708441761174
2026-07-26 04:00:23+00:00,64549.1,0.33996503692458463,0.9999978283129252,0.9955,0.004497828312925112
2026-07-26 05:00:17+00:00,64545.6,0.3399584150329323,0.9999978108639604,0.9955,0.004497810863960394
2026-07-26 06:00:31+00:00,64416.4,0.33986184658069113,0.9999970347273381,0.9955,0.0044970347273380895
2026-07-26 07:00:45+00:00,64442.7,0.3398581561577664,0.9999972158067044,0.9955,0.004497215806704369
2026-07-26 08:00:16+00:00,64370.9,0.33989641738985715,0.9999966884797467,0.9955,0.004496688479746602
2026-07-26 09:00:18+00:00,64480.1,0.3398734640919667,0.9999974517030714,0.9955,0.0044974517030713645
2026-07-26 10:00:24+00:00,64533.3,0.3399368192627094,0.9999977482125476,0.9955,0.004497748212547559
2026-07-26 11:00:15+00:00,64517.2,0.3399124942272164,0.9999976629760527,0.9955,0.0044976629760526965
2026-07-26 12:00:39+00:00,64510.1,0.33990318758015936,0.9999976241833082,0.9955,0.004497624183308124
2026-07-26 13:00:15+00:00,64472.1,0.33986816037605305,0.999997403263571,0.9995,0.0004974032635709502
2026-07-26 14:00:22+00:00,64521.1,0.3399179763169563,0.9999976839674748,0.9995,0.000497683967474738
2026-07-26 16:00:21+00:00,64761.9,0.34076373750116024,0.9999999955451193,0.995,0.004999995545119318
2026-07-26 17:00:28+00:00,64745.2,0.34067293686892147,0.9999999953103852,0.995,0.004999995310385197
2026-07-26 18:00:36+00:00,64689.1,0.340402919397946,0.9999999944093625,0.995,0.004999994409362496
2026-07-26 19:00:29+00:00,64741.5,0.3406534658451377,0.99999999525644,0.995,0.004999995256440015
2026-07-26 20:00:38+00:00,64706.5,0.3404808914799859,0.999999994708747,0.995,0.004999994708747013
2026-07-26 22:00:17+00:00,64857.5,0.34137530031067975,0.9999999966505442,0.995,0.004999996650544181
2026-07-26 23:00:17+00:00,65414.7,0.34799692384158004,0.9999999991256113,0.995,0.004999999125611332
2026-07-27 00:00:41+00:00,65402.9,0.3362819260687763,0.9999999997559927,0.995,0.004999999755992746
2026-07-27 01:00:21+00:00,65130.0,0.33731852861827005,0.999999999211331,0.995,0.0049999992113309855
2026-07-27 02:00:15+00:00,65203.7,0.33692276576454394,0.999999999430912,0.9985,0.0014999994309119469
2026-07-27 03:00:34+00:00,65181.3,0.3370340128513678,0.9999999993720092,0.9985,0.0014999993720091753
2026-07-27 04:00:26+00:00,65280.1,0.33660283814451053,0.9999999995913429,0.995,0.004999999591342896
2026-07-27 05:00:18+00:00,65292.3,0.33656028314313713,0.9999999996121172,0.995,0.0049999996121171675
2026-07-27 06:00:32+00:00,65474.5,0.33620504749669483,0.9999999998174998,0.995,0.004999999817499767
2026-07-27 07:00:19+00:00,65169.0,0.33709845879419487,0.9999999993369395,0.995,0.004999999336939509
2026-07-27 08:00:20+00:00,64811.5,0.34000426960669516,0.9999999965552471,0.995,0.004999996555247077
2026-07-27 09:00:22+00:00,64880.0,0.339293927453141,0.9999999975099784,0.995,0.004999997509978371
2026-07-27 10:00:27+00:00,65266.2,0.3366541889202576,0.9999999995662094,0.995,0.004999999566209445
2026-07-27 11:00:19+00:00,65063.3,0.3377502179588653,0.9999999989346964,0.995,0.004999998934696381
2026-07-27 12:00:39+00:00,64811.5,0.34000426960669516,0.9999999965552471,0.995,0.004999996555247077
2026-07-27 13:00:26+00:00,65095.8,0.3375311658166559,0.9999999990804312,0.9995,0.0004999990804311905
2026-07-27 14:00:26+00:00,65063.2,0.33775091747464525,0.9999999989342123,0.9995,0.0004999989342122646
2026-07-27 15:00:36+00:00,64556.9,0.34327092656208,0.9999999882015451,0.9995,0.0004999882015450652
2026-07-27 16:00:24+00:00,64558.7,0.3432444069472345,0.9999999999999987,0.9995,0.0004999999999986127
2026-07-27 17:00:29+00:00,64810.1,0.34001953924790135,0.9999999999999999,0.9995,0.0004999999999998339
2026-07-27 18:00:34+00:00,65021.1,0.33805929389624556,1.0,0.9995,0.0004999999999999449
2026-07-27 19:00:30+00:00,64602.9,0.34260837815295286,0.9999999999999991,0.9995,0.0004999999999990568
2026-07-27 20:00:30+00:00,64981.3,0.3383762435665613,1.0,0.9995,0.0004999999999999449
2026-07-27 21:00:28+00:00,64811.5,0.34000426960669516,0.9999999999999999,0.9995,0.0004999999999998339
2026-07-27 22:00:27+00:00,64683.5,0.3415240291251914,0.9999999999999996,0.9995,0.0004999999999995008
2026-07-27 23:00:30+00:00,63791.8,0.3587500961835647,0.9999999999978688,0.9995,0.0004999999978687608
2026-07-28 00:00:36+00:00,63460.0,0.3481193804249695,0.9999999999964129,0.9995,0.0004999999964128143
2026-07-28 01:00:18+00:00,63311.5,0.34899826269585404,0.9999999999901741,0.9995,0.0004999999901740271
2026-07-28 02:00:19+00:00,63014.3,0.3517454564339089,0.9999999999225553,0.9995,0.0004999999225552276
2026-07-28 03:00:49+00:00,63186.5,0.3499941315125097,0.999999999976724,0.9995,0.0004999999767238972
2026-07-28 04:00:47+00:00,63345.0,0.3487710511891829,0.999999999992186,0.9995,0.0004999999921859732
2026-07-28 05:00:43+00:00,63347.3,0.3487560689988193,0.9999999999923077,0.9995,0.0004999999923076537
2026-07-28 06:00:44+00:00,63457.2,0.3481328810683835,0.9999999999963449,0.9995,0.0004999999963448687
2026-07-28 07:00:39+00:00,63642.1,0.3474959354480469,0.999999999998922,0.9995,0.0004999999989219184
