segment,start,end,n_trades,expectancy_acct_pct,win_rate,profit_factor,strat_return,bench_return,max_drawdown,symbol,system
3,2021-12-31 00:00:00+00:00,2022-07-01 00:00:00+00:00,14,0.0009299843343567417,0.07142857142857142,1.2015772684284693,0.010775043249090732,-0.7038993676701075,-0.06344685777531622,ETH,sized
4,2022-07-01 00:00:00+00:00,2022-12-30 00:00:00+00:00,9,0.0025167976178676076,0.2222222222222222,1.5382531609979495,0.0214485695976534,0.09516769336071174,-0.060228913420964925,ETH,sized
5,2022-12-30 00:00:00+00:00,2023-06-30 00:00:00+00:00,22,0.0029573968615008686,0.2727272727272727,1.394398082928999,0.06052745379577984,0.5416281259635176,-0.11607719547463047,ETH,sized
6,2023-06-30 00:00:00+00:00,2023-12-29 00:00:00+00:00,18,0.002096231044376198,0.2222222222222222,1.2426486431473203,0.056264840837872754,0.26665405405405407,-0.10645371089535738,ETH,sized
7,2023-12-29 00:00:00+00:00,2024-06-28 00:00:00+00:00,16,0.01510795015034028,0.25,2.9067247308733575,0.1820031824920667,0.4678296938945339,-0.10914879779051434,ETH,sized
8,2024-06-28 00:00:00+00:00,2024-12-27 00:00:00+00:00,33,-0.0030922697217709667,0.12121212121212122,0.3440442025127007,-0.09834215787621903,-0.026793969031102538,-0.12977627741643694,ETH,sized
9,2024-12-27 00:00:00+00:00,2025-06-27 00:00:00+00:00,29,-0.0008983496667762125,0.10344827586206896,0.7744685290086281,-0.032465396063935836,-0.28292237006410903,-0.11151122317550988,ETH,sized
10,2025-06-27 00:00:00+00:00,2025-12-26 00:00:00+00:00,14,0.009174811089206298,0.35714285714285715,3.4312607953429763,0.12522333964461208,0.20981852722091676,-0.07532178289942915,ETH,sized
11,2025-12-26 00:00:00+00:00,2026-06-26 00:00:00+00:00,17,-0.003674193859445592,0.11764705882352941,0.38971073387342287,-0.061749001716288165,-0.46118457300275484,-0.10210651705382312,ETH,sized
12,2026-06-26 00:00:00+00:00,2026-09-08 23:00:00+00:00,8,0.02241956235445183,0.375,5.114921619133437,0.1779829555304897,0.5881819111406512,-0.05471690350023739,ETH,sized
