time_utc,side,reason,expected_px,fill_px,slippage_pct,notional,units,pnl_acct_pct,balance
2022-07-20 16:00:00+00:00,SELL,signal,24191.35,23683.97,+0.0000%,745.95,0.03149600,-2.2931%,12168.86
2022-07-28 16:00:00+00:00,BUY,signal,23764.13,23764.13,+0.0000%,760.77,0.03201321,+0.0000%,11422.15
2022-08-18 07:00:00+00:00,SELL,signal,23764.13,23414.21,+0.0000%,749.56,0.03201321,-1.6694%,12159.76
2022-09-12 01:00:00+00:00,BUY,signal,22044.29,22044.29,+0.0000%,759.92,0.03447239,+0.0000%,11409.44
2022-09-12 02:00:00+00:00,SELL,signal,22044.29,21768.53,+0.0000%,750.41,0.03447239,-1.4483%,12149.60
2022-09-12 07:00:00+00:00,BUY,signal,22193.64,22193.64,+0.0000%,759.19,0.03420735,+0.0000%,11398.42
2022-09-13 12:00:00+00:00,SELL,signal,22193.64,21398.32,+0.0000%,731.98,0.03420735,-3.7763%,12102.47
2022-10-25 15:00:00+00:00,BUY,signal,19748.48,19748.48,+0.0000%,757.27,0.03834596,+0.0000%,11369.73
2022-11-08 04:00:00+00:00,SELL,signal,19748.48,19637.09,+0.0000%,753.00,0.03834596,-0.7628%,12117.71
2022-12-14 18:00:00+00:00,BUY,signal,18213.47,18213.47,+0.0000%,756.89,0.04155656,+0.0000%,11363.95
2022-12-14 19:00:00+00:00,SELL,signal,18213.47,17792.90,+0.0000%,739.41,0.04155656,-2.5044%,12085.14
2023-01-06 19:00:00+00:00,BUY,signal,16939.91,16939.91,+0.0000%,755.63,0.04460623,+0.0000%,11344.97
2023-02-06 11:00:00+00:00,SELL,signal,16939.91,22878.23,+0.0000%,1020.51,0.04460623,+34.7852%,12629.35
2023-02-16 05:00:00+00:00,BUY,signal,24681.94,24681.94,+0.0000%,773.15,0.03132447,+0.0000%,11608.06
2023-02-25 12:00:00+00:00,SELL,signal,24681.94,23018.34,+0.0000%,721.04,0.03132447,-6.9266%,12276.27
2023-03-14 03:00:00+00:00,BUY,signal,24374.20,24374.20,+0.0000%,769.58,0.03157348,+0.0000%,11554.46
2023-04-07 23:00:00+00:00,SELL,signal,24374.20,27906.33,+0.0000%,881.10,0.03157348,+14.2624%,12546.20
2023-04-10 02:00:00+00:00,BUY,signal,28296.00,28296.00,+0.0000%,776.90,0.02745603,+0.0000%,11664.32
2023-04-20 16:00:00+00:00,SELL,signal,28296.00,28442.56,+0.0000%,780.92,0.02745603,+0.3170%,12448.49
2023-04-27 21:00:00+00:00,BUY,signal,29647.07,29647.07,+0.0000%,777.06,0.02621035,+0.0000%,11666.79
2023-05-02 12:00:00+00:00,SELL,signal,29647.07,28106.95,+0.0000%,736.69,0.02621035,-5.3844%,12362.38
2023-05-03 23:00:00+00:00,BUY,signal,29026.16,29026.16,+0.0000%,774.27,0.02667493,+0.0000%,11624.91
2023-05-08 08:00:00+00:00,SELL,signal,29026.16,27704.94,+0.0000%,739.03,0.02667493,-4.7426%,12327.96
2023-05-29 00:00:00+00:00,BUY,signal,28192.53,28192.53,+0.0000%,771.82,0.02737685,+0.0000%,11588.16
2023-05-29 01:00:00+00:00,SELL,signal,28192.53,28166.57,+0.0000%,771.11,0.02737685,-0.2918%,12357.79
2023-06-20 16:00:00+00:00,BUY,signal,27380.54,27380.54,+0.0000%,771.67,0.02818324,+0.0000%,11585.90
2023-07-07 00:00:00+00:00,SELL,signal,27380.54,30052.60,+0.0000%,846.98,0.02818324,+9.5396%,12507.34
2023-07-12 08:00:00+00:00,BUY,signal,30735.48,30735.48,+0.0000%,776.58,0.02526657,+0.0000%,11659.58
2023-07-16 04:00:00+00:00,SELL,signal,30735.48,30152.25,+0.0000%,761.84,0.02526657,-2.0937%,12405.93
2023-08-08 20:00:00+00:00,BUY,signal,29980.00,29980.00,+0.0000%,775.50,0.02586712,+0.0000%,11643.31
2023-08-11 02:00:00+00:00,SELL,signal,29980.00,29373.02,+0.0000%,759.80,0.02586712,-2.2205%,12386.64
2023-08-11 03:00:00+00:00,BUY,signal,29412.00,29412.00,+0.0000%,774.35,0.02632763,+0.0000%,11626.07
2023-08-11 07:00:00+00:00,SELL,signal,29412.00,29417.28,+0.0000%,774.49,0.02632763,-0.1820%,12399.93
2023-08-11 11:00:00+00:00,BUY,signal,29445.96,29445.96,+0.0000%,774.25,0.02629407,+0.0000%,11624.66
2023-08-11 12:00:00+00:00,SELL,signal,29445.96,29425.99,+0.0000%,773.73,0.02629407,-0.2676%,12397.09
2023-08-11 13:00:00+00:00,BUY,signal,29470.71,29470.71,+0.0000%,774.12,0.02626730,+0.0000%,11622.59
2023-08-11 15:00:00+00:00,SELL,signal,29470.71,29395.89,+0.0000%,772.15,0.02626730,-0.4533%,12392.00
2023-08-14 16:00:00+00:00,BUY,signal,29653.99,29653.99,+0.0000%,773.88,0.02609707,+0.0000%,11619.08
2023-08-14 17:00:00+00:00,SELL,signal,29653.99,29487.28,+0.0000%,769.53,0.02609707,-0.7610%,12383.49
2023-09-29 07:00:00+00:00,BUY,signal,27179.98,27179.98,+0.0000%,773.49,0.02845806,+0.0000%,11613.18
2023-09-29 08:00:00+00:00,SELL,signal,27179.98,27003.58,+0.0000%,768.47,0.02845806,-0.8476%,12375.86
2023-10-01 06:00:00+00:00,BUY,signal,27128.85,27128.85,+0.0000%,773.05,0.02849559,+0.0000%,11606.62
2023-10-11 13:00:00+00:00,SELL,signal,27128.85,27143.59,+0.0000%,773.47,0.02849559,-0.1457%,12379.74
2023-10-16 23:00:00+00:00,BUY,signal,28500.78,28500.78,+0.0000%,772.98,0.02712127,+0.0000%,11605.49
2023-12-13 10:00:00+00:00,SELL,signal,28500.78,41143.26,+0.0000%,1115.86,0.02712127,+44.0698%,13063.12
2023-12-14 03:00:00+00:00,BUY,signal,42713.86,42713.86,+0.0000%,795.69,0.01862832,+0.0000%,11946.46
2023-12-16 18:00:00+00:00,SELL,signal,42713.86,42466.00,+0.0000%,791.07,0.01862832,-0.7790%,12732.12
2023-12-20 15:00:00+00:00,BUY,signal,44027.20,44027.20,+0.0000%,795.27,0.01806325,+0.0000%,11940.26
2023-12-27 12:00:00+00:00,SELL,signal,44027.20,42913.56,+0.0000%,775.16,0.01806325,-2.7243%,12694.52
2023-12-29 05:00:00+00:00,BUY,signal,42677.71,42677.71,+0.0000%,793.83,0.01860057,+0.0000%,11918.57
2023-12-29 08:00:00+00:00,SELL,signal,42677.71,42472.88,+0.0000%,790.02,0.01860057,-0.6789%,12703.99
2024-01-02 06:00:00+00:00,BUY,signal,45168.75,45168.75,+0.0000%,793.47,0.01756680,+0.0000%,11913.18
2024-01-13 18:00:00+00:00,SELL,signal,45168.75,42806.01,+0.0000%,751.96,0.01756680,-5.4204%,12622.88
